section,product_name,category,material,size,price,platform,log_price
REMAINING,"Channapatna toys wooden family peg dolls for kids (2 Years+)- 4-inch Multicolor -pack of 4 - pretend play, open-ended toys, Waldorf inspired",Open-ended / Pretend Play / Educational Toys,Natural Wood,Unknown,419,Channapatna Toys,6.040254711
REMAINING,"Traditional Channapatna Wooden Peg Dolls, Marathi Couple in Traditional Attire, Handcrafted Indian Folk Art",Open-ended / Pretend Play / Educational Toys,Natural Wood,Unknown,429,Channapatna Toys,6.063785209
REMAINING,"Wooden Christmas Peg Doll Figurines Set of 7 – Handcrafted Holiday Decor (Santa, Snowman, Tree, Gingerbread) – Non-Toxic, Eco-Friendly & Home Decor",Open-ended / Pretend Play / Educational Toys,Sustainable Wood,Unknown,999,Channapatna Toys,6.907755279
REMAINING,"Wooden Peg Dolls - Handcrafted DIY Craft Set for Kids | Ideal for Pretend Play, and Montessori Education | 10 Pcs (5 Male & 5 Female) | 9.5 cm New",Open-ended / Pretend Play / Educational Toys,Natural Wood,Unknown,799,Channapatna Toys,6.684611728
REMAINING,MEERAN ART AND CRAFTS CHANNAPATNA Toys Indian Old Traditional Wooden Marriage Tabla Set,Pretend Play / Cultural Toys / Decor,Natural Wood,Unknown,999,Channapatna Toys,6.907755279
REMAINING,4Pcs Christmas Hand Jingle Bells Handheld Sleigh Bells Wooden Handle Bells Rattles Musical Rhythm Percussion Instruments Children Musical Toys,Unknown,Ivory wood (Wrightia tinctoria),Unknown,499,Channapatna Toys,6.214608098
REMAINING,"5-in-1 Wooden Activity Triangle Learning Toy| Learn Alphabets, Time & Movement with Abacus, Drawing Writing Board, Alphabet Blocks, Clock & Gears",Unknown,Unknown,"26 x 26 (cm) Made of Solid wood, non-toxic paints with bright color, sturdy wooden construction, round edges with no sharp, lightweight and harmless, safe for children to play.",2199,Channapatna Toys,7.696212639
REMAINING,"Authentic Channapatna Wooden Baby Rattle Toys set for Infants, New Born Babies (0+Years)-Set of 6 pcs-Discover Sounds, Develops Sensory Skills (Oval)",Unknown,Unknown,Unknown,798,Channapatna Toys,6.683360946
REMAINING,Authentic Channapatna Wooden Baby Rattle Toys – Set of 6 pcs,Unknown,Ivory wood (Wrightia tinctoria),Unknown,798,Channapatna Toys,6.683360946
REMAINING,"Authentic Channapatna Wooden Rattles Toys for Baby, Infants, New Born Babies Toys, Kids (0-12 months) - Set of 7 pcs - Multicolor - Discover Sounds",Unknown,Ivory wood (Wrightia tinctoria),Unknown,847,Channapatna Toys,6.742880636
REMAINING,"Authentic Channapatna wooden baby rattle toys for infants, Ecofriendly baby toys, New born babies (0-12 months) - set of 6 pcs",Unknown,Seasoned Hale Wood & Natural Lacquer.,Unknown,798,Channapatna Toys,6.683360946
REMAINING,CHANNAPATNA Handmade Small Sized Wooden Pots with Home Decorative Wooden Wall Hanging/Display Hut Shape for Home/Kitchen/Office/Bedroom/Living Room,Unknown,Unknown,Unknown,599,Channapatna Toys,6.396929655
REMAINING,"CHANNAPATNA Handmade Wooden Spices Masala Jar, Wooden Container with Lid Cover for Tea Coffee Sugar Jar/Container/Storage Multipurpose",Unknown,Unknown,Unknown,1249,Channapatna Toys,7.13089883
REMAINING,"CHANNAPATNA Montessori Natural Wooden Developmental Toys for Babies Rainbow Stacking Toy, Roly Poly Toy, Spinning Tops - Toddlers 1+ (Set of 3)",Unknown,Unknown,Unknown,1799,Channapatna Toys,7.495541944
REMAINING,CHANNAPATNA TOYS 10 Piece Wooden Wild Animals/Forest Animals/Classic Toy for Pretend Play/Educational Balancing Toy,Unknown,Unknown,Unknown,1499,Channapatna Toys,7.313220387
REMAINING,"CHANNAPATNA TOYS Handcrafted Wooden Keychains Set of 4, Multicolored",Unknown,Unknown,Unknown,499,Channapatna Toys,6.214608098
REMAINING,"CHANNAPATNA TOYS Montessori Learning Wooden Toys | Box 5: 6-9 Months | Early Child Development, Sensory Learning, Develop, Problem/Puzzle Solving",Unknown,Unknown,Unknown,799,Channapatna Toys,6.684611728
REMAINING,"CHANNAPATNA TOYS Montessori Learning Wooden Toys | Box 6: 6-9 Months | Early Child Development, Sensory Learning, Develop, Problem/Puzzle Solving",Unknown,Unknown,Unknown,849,Channapatna Toys,6.745236349
REMAINING,"CHANNAPATNA TOYS Montessori Learning Wooden Toys | Box 7: 6-9 Months | Early Child Development, Sensory Learning, Develop, Problem/Puzzle Solving",Unknown,Unknown,Unknown,1549,Channapatna Toys,7.34601021
REMAINING,"CHANNAPATNA TOYS Montessori Toys for 2 3 Year Old Unisex Toddlers, Wooden Sorting & Stacking Toys Kids Preschool, Educational Puzzle Set",Unknown,Unknown,Unknown,474,Channapatna Toys,6.163314804
REMAINING,CHANNAPATNA TOYS Organic Wooden Ice Cream Stacking Toy for Kids - (1 Year+) - Montessori Toys for Toddlers 1-3 Years Old and Up - Multicolor,Unknown,Unknown,Unknown,649,Channapatna Toys,6.476972363
REMAINING,"CHANNAPATNA TOYS Pull Along Toy Wooden Rabbit & Snail Toy for Toddlers, Kids(1 Year+) with Attached String 3 pcs- Encourage Walking",Unknown,Unknown,Unknown,1349,Channapatna Toys,7.207859871
REMAINING,"CHANNAPATNA TOYS Pull Along Wooden Train & Stacking Toy for 12 Months + Kids, Toddlers, Infant & Preschool Toys - Set of 2 pcs- Multicolor",Unknown,Unknown,Unknown,849,Channapatna Toys,6.745236349
REMAINING,"CHANNAPATNA TOYS Shape Sorting Cube-Classic Montessori Wooden Toy with 15 Shapes-Kids Shape Sorter Toys for Toddlers Ages 2+, 12 Pcs",Unknown,Unknown,Unknown,949,Channapatna Toys,6.856461985
REMAINING,CHANNAPATNA TOYS Unfinished Wood Peg Doll Family Set - 4 Natural Wooden Dolls for DIY Crafts and Pretend Play - Free Colors & Brush for Kids 2+,Unknown,Unknown,Unknown,399,Channapatna Toys,5.991464547
REMAINING,"CHANNAPATNA TOYS Wooden Baby Rattle & 1 Animal Shaker Toys Set for Infants, New Born Babies (0+ Years) - Set of 5 pcs - Multicolor - Discover sounds",Unknown,Unknown,Unknown,847,Channapatna Toys,6.742880636
REMAINING,"CHANNAPATNA TOYS Wooden Bowling Pins Toy & Cup and Ball Game Set for Kids (2 Years+) - Non Toxic Colors, Indoor & Outdoor Game, Fun Learning for Kids",Unknown,Unknown,"5cm (diameter) x 11cm (height), Carefully Handcrafted Pins & Balls 100% Natural Long lasting wood Attractive & Beautiful Perfectly Sized Grooved Bottom for better holding Perfect Toy for Indoor & Outdoor Play",999,Channapatna Toys,6.907755279
REMAINING,CHANNAPATNA TOYS Wooden Christmas Russian Nesting Dolls Set for Kids (2 Years+) - 6 Inch Multicolor - Set of 5 pcs,Unknown,Unknown,Unknown,639,Channapatna Toys,6.461468176
REMAINING,CHANNAPATNA TOYS Wooden Christmas Toys Peg Dolls Family Pretend Play Figurines - Colorful Toys for Kids & Toddlers (2 Years+) - Pack of 5 pcs,Unknown,Unknown,Unknown,569,Channapatna Toys,6.345636361
REMAINING,"CHANNAPATNA TOYS Wooden Colourful Rainbow Roly Poly Toy for Baby, Toddlers, Kids(1 Year+) Wobbling Tumbler Toy- Develops Curiosity & Motor Skills",Unknown,"Made with wood and colored with non toxic paints. No Batteries, No Plastic","9 x 12 cm. Your little one will never tire of this wobbly friend who bounces back no matter what they do! Push, pull or grasp this cute doll, the rounded, weighted bottoms always delightfully spin them back upright for more play time fun",499,Channapatna Toys,6.214608098
REMAINING,"CHANNAPATNA TOYS Wooden Family Peg Dolls Set of 8 – Handcrafted Traditional Indian Family Figures, Montessori Pretend Play Toys for Kids, Non-Toxic",Unknown,Unknown,Unknown,849,Channapatna Toys,6.745236349
REMAINING,CHANNAPATNA TOYS Wooden Indian Flag Russian Nesting Dolls Set for Kids (2 Years+) - 6 Inch Multicolor - Set of 5 pcs - Improves Hand Eye Coordination,Unknown,Made from natural cuts of wood and decorated with safe water-based paints,Unknown,649,Channapatna Toys,6.476972363
REMAINING,CHANNAPATNA TOYS Wooden Indian Pot Lady Doll for Kids (3 Years+) 8 inch Multi Color- Learning The Professions,Unknown,Unknown,Unknown,399,Channapatna Toys,5.991464547
REMAINING,CHANNAPATNA TOYS Wooden Mini Desktop Parent-Child for Kids Fun Bowling Game Toy Set,Unknown,Unknown,Unknown,568,Channapatna Toys,6.343880434
