product_name,category,material,material_raw,size,length_cm,width_cm,height_cm,price,mrp,discount,rating,review_count,seller,platform,product_url,source_type,date_collected,verification_note
"Wooden Learning Educational Game Board for Kids, Puzzle Toys for 2 Years Old Boys & Girls (Alphabets, Numbers & Shapes)",Educational Toy,Wood,Wood,20*20*3,,,,197.0,,,4.3,2561.0,ZARQITO,Meesho,https://www.meesho.com/wooden-learning-educational-game-board-for-kids-puzzle-toys-for-2-years-old-boys-girls-alphabets-numbers-shapes/p/80l9u5,Direct Wooden Toy,2026-09-17,
"Wooden Learning Educational Game Board for Kids, Puzzle Toys for 2 Years Old Boys & Girls (Alphabets, Numbers & Shapes)",Educational Toy,Wood,Wood,15*10*3,,,,189.0,,,4.1,83.0,ZRIYOS,Meesho,https://www.meesho.com/wooden-learning-educational-game-board-for-kids-puzzle-toys-for-2-years-old-boys-girls-alphabets-numbers-shapes/p/9wwdpa,Direct Wooden Toy,2026-09-17,
"Wooden Learning Educational Board for Kids, Puzzle Toys for 2 Years Old Boys & Girls (Alphabets, Numbers & Shapes)",Educational Toy,Wood,Wood,4*4,,,,188.0,,,,,,Meesho,https://www.meesho.com/wooden-learning-educational-board-for-kids-puzzle-toys-for-2-years-old-boys-girls-alphabets-numbers-shapes-abc-numbers-shape/p/eez2n7,Direct Wooden Toy,2026-09-17,
Wooden Educational Creative learning A To Z English Alphabets Board Puzzle,Educational Toy,Unknown,,12*8*6,,,,144.0,,,4.0,65.0,,Meesho,https://www.meesho.com/wooden-educational-creative-learning-a-to-z-english-alphabets-board-puzzle/p/660qqr,Direct Wooden Toy,2026-09-17,
"Wooden Learning Educational Game Board for Kids, Puzzle Toys for 2 Years Old Boys & Girls (Alphabets, Numbers & Shapes)",Educational Toy,Wood,Wood,19.8 x 19.8 x 2,,,,188.0,,,4.4,36.0,Bera Overseas,Meesho,https://www.meesho.com/wooden-learning-educational-game-board-for-kids-puzzle-toys-for-2-years-old-boys-girls-alphabets-numbers-shapes/p/9wwvxa,Direct Wooden Toy,2026-09-17,
Clapjoy Kids Wooden Toy House with Furniture Do-It-Yourself Kit,Pretend Play,Wood,Wood,Pack,,,,474.0,699.0,32.0,4.6,11.0,CLAPJOY INNOVATIONS PRIVATE LIMITED,Myntra,https://www.myntra.com/activity-toys-and-games/clapjoy/clapjoy-kids-wooden-toy-house-with-furniture-do-it-yourself-kit/32771088/buy,Direct Wooden Toy,2026-09-17,
LITTLE GINNIE Wooden Train Toy,Toy Vehicle,Wood,Wood,One size,,,,635.0,2600.0,76.0,,,MAGADH TECHNO SERVICES PRIVATE LIMITED,Myntra,https://www.myntra.com/Toy-Vehicles/LITTLE%2BGINNIE/LITTLE-GINNIE-Wooden-Train-Toy/30762853/buy,Direct Wooden Toy,2026-09-17,
Ed-a-Mamma Wooden Toy Vehicles,Toy Vehicle,Wood,Wood,One size,,,,1999.0,1999.0,0.0,,,ETERNALIA MEDIA PRIVATE LIMITED,Myntra,https://www.myntra.com/toy-vehicles/ed-a-mamma/ed-a-mamma-wooden-toy-vehicles/40179911/buy,Direct Wooden Toy,2026-09-17,
Wooden Multicolored Marshall's Fire Station Pretend Play Toy Set,Pretend Play,Wood,Wood,One size,,,,5500.0,5500.0,0.0,,,LIBRAL TRADERS PVT LTD,Myntra,https://www.myntra.com/learning-and-development-toys/playbox/playbox-wooden-multicolored-marshalls-fire-station-pretend-play-toy-set/36481906/buy,Direct Wooden Toy,2026-09-17,
Kids Brown & Red Wooden Counting Numbers Activity Toy,Educational Toy,Wood,Wood,Pack,,,,619.0,699.0,11.0,4.7,19.0,Whole9yards Online LLP,Myntra,https://www.myntra.com/activity-toys-and-games/wembleytoys/wembley-toys-kids-brown--red-wooden-counting-numbers-activity-toy/16070970/buy,Direct Wooden Toy,2026-09-17,
